relative_path,treatment,sample,angle,group_id,source_path
treatment_1/sample_C/6Oclock/rep_000.npy,treatment_1,sample_C,6Oclock,treatment_1/sample_C/6Oclock,/Users/mathewyoussef/Desktop/extremophile_detection/Data/Final_Experiment_August_18_2025/Treatment_1_UVA140p49_UVB92p06/C/Angle_6Oclock/sample_1_C_6oclock_ST026791__98__4296.txt
treatment_1/sample_C/6Oclock/rep_001.npy,treatment_1,sample_C,6Oclock,treatment_1/sample_C/6Oclock,/Users/mathewyoussef/Desktop/extremophile_detection/Data/Final_Experiment_August_18_2025/Treatment_1_UVA140p49_UVB92p06/C/Angle_6Oclock/sample_1_C_6oclock_ST026791__145__4343.txt
treatment_1/sample_C/6Oclock/rep_002.npy,treatment_1,sample_C,6Oclock,treatment_1/sample_C/6Oclock,/Users/mathewyoussef/Desktop/extremophile_detection/Data/Final_Experiment_August_18_2025/Treatment_1_UVA140p49_UVB92p06/C/Angle_6Oclock/sample_1_C_6oclock_ST026791__70__4268.txt
treatment_1/sample_C/6Oclock/rep_003.npy,treatment_1,sample_C,6Oclock,treatment_1/sample_C/6Oclock,/Users/mathewyoussef/Desktop/extremophile_detection/Data/Final_Experiment_August_18_2025/Treatment_1_UVA140p49_UVB92p06/C/Angle_6Oclock/sample_1_C_6oclock_ST026791__41__4239.txt
treatment_1/sample_C/6Oclock/rep_004.npy,treatment_1,sample_C,6Oclock,treatment_1/sample_C/6Oclock,/Users/mathewyoussef/Desktop/extremophile_detection/Data/Final_Experiment_August_18_2025/Treatment_1_UVA140p49_UVB92p06/C/Angle_6Oclock/sample_1_C_6oclock_ST026791__75__4273.txt
treatment_1/sample_C/6Oclock/rep_005.npy,treatment_1,sample_C,6Oclock,treatment_1/sample_C/6Oclock,/Users/mathewyoussef/Desktop/extremophile_detection/Data/Final_Experiment_August_18_2025/Treatment_1_UVA140p49_UVB92p06/C/Angle_6Oclock/sample_1_C_6oclock_ST026791__121__4319.txt
treatment_1/sample_C/6Oclock/rep_006.npy,treatment_1,sample_C,6Oclock,treatment_1/sample_C/6Oclock,/Users/mathewyoussef/Desktop/extremophile_detection/Data/Final_Experiment_August_18_2025/Treatment_1_UVA140p49_UVB92p06/C/Angle_6Oclock/sample_1_C_6oclock_ST026791__35__4233.txt
treatment_1/sample_C/6Oclock/rep_007.npy,treatment_1,sample_C,6Oclock,treatment_1/sample_C/6Oclock,/Users/mathewyoussef/Desktop/extremophile_detection/Data/Final_Experiment_August_18_2025/Treatment_1_UVA140p49_UVB92p06/C/Angle_6Oclock/sample_1_C_6oclock_ST026791__30__4228.txt
treatment_1/sample_C/6Oclock/rep_008.npy,treatment_1,sample_C,6Oclock,treatment_1/sample_C/6Oclock,/Users/mathewyoussef/Desktop/extremophile_detection/Data/Final_Experiment_August_18_2025/Treatment_1_UVA140p49_UVB92p06/C/Angle_6Oclock/sample_1_C_6oclock_ST026791__105__4303.txt
treatment_1/sample_C/6Oclock/rep_009.npy,treatment_1,sample_C,6Oclock,treatment_1/sample_C/6Oclock,/Users/mathewyoussef/Desktop/extremophile_detection/Data/Final_Experiment_August_18_2025/Treatment_1_UVA140p49_UVB92p06/C/Angle_6Oclock/sample_1_C_6oclock_ST026791__135__4333.txt
